NAME,URL,SECTOR,TWITTER,DATA SOURCE
Touchtech Payments,http://touchtechpayments.com,FinTech,,"DCU Ryan Academy, Trinity Research & Innovation, Accenture"
TracknStop,http://www.tracknstop.com/,Security & Encryption,@tracknstop,"Bank of Ireland, IVCA, Silicon Republic, Accenture"
Tradeflow,http://tradeflowhq.ie/,FinTech,@tradeflowhq,"NDRC, Accenture"
Tradey,http://www.gettradey.com/,Enterprise,@gettradey,"Bank of Ireland, IVCA, DIT Hothouse"
Trakax,http://www.trakax.com/,Entertainment & Publishing,,Trinity Research & Innovation
TransferMate Global Payments,http://www.transfermate.com,FinTech,,Crunchbase
Transpoco,http://www.transpoco.com/,Travel,,
Traptec Ltd,http://traptec.eu/,Hardware & IoT,,EI
Travayl,http://www.ndrc.ie/projects/travayl/,Travel,,NDRC
Travel Bay,http://travelbay.co/,Travel,,
Treasury Delta,www.TreasuryDelta.com,FinTech,,Accenture
Treasury HQ,www.treasuryhq.com,FinTech,,DIT Hothouse
Treatdrop,http://www.treatdrop.co/,Travel,,AIB
Treo,http://www.treo.watch/,Sports,,DCU Ryan Academy
TrialView Ltd,http://www.trialview.com/,Enterprise,,NDRC
TribeFoodie,http://www.TRIBEfoodie.com,Social Media,@tribefoodie,"Bank of Ireland, IVCA"
Trilabrynth,http://www.trilabyrinth.com/,Entertainment & Publishing,,AIB
TriMod Therapeutics,http://www.trimodtherapeutics.com/,MedTech,,"AIB, Bank of Ireland, IVCA, Trinity Research & Innovation"
Trinity Green Energies Ltd,http://trinitygreenenergies.com/,Environment (green/clean),,Trinity Research & Innovation
Trino Therapeutics,http://trinotherapeutics.com,MedTech,,"Bank of Ireland, IVCA, Trinity Research & Innovation"
TripClocker,http://tripclocker.com,Travel,@tripclocker,"EI HPSU, DIT Hothouse"
TripCrystal,http://www.tripcrystal.com,Travel,@tripcrystal,"Bank of Ireland, IVCA, GEC"
True Pivot,http://truepivot.com/,Big Data & Analytics,@truepivot,"Bank of Ireland, IVCA, Dublin BIC, NDRC"
Trustev,www.trustev.com,Security & Encryption,,"Dogpatch Labs, Accenture"
TrustHub,http://trusthub.ie/,Enterprise,@_TrustHub,"Dublin BIC, DIT Hothouse"
Tubett,http://www.tubett.com,Entertainment & Publishing,@tubetting,NDRC
Tucr,http://tucr.io/,Advertising & Marketing,,Web Summit
TuneTrak,http://tunetrack.net/,Entertainment & Publishing,,NDRC
Turn2me,www.Turn2me.org,Philanthropy & Social Good,,Silicon Republic
Tuuway Technologies Limited,http://tuuway.com,Enterprise,@tuuway,Crunchbase
TVadSync,http://tvadsync.com,Advertising & Marketing,,"Bank of Ireland, IVCA, Dublin BIC, HBAN, TVadSync"
Twiddle,http://www.twiddle.ie,Advertising & Marketing,@TwiddleTeam,NDRC
TwoTen Health,http://www.twotenhealth.com/,Enterprise,,AIB
Ubanquity Systems,http://www.ubanquity.com,FinTech,,Crunchbase
Ultan Technologies,http://www.ultantechnologies.com/,Enterprise,,LEO
Unified Media,http://www.unifiedmedia.ie/,Advertising & Marketing,,NDRC
Unipupil,https://unipupil.com/en,Big Data & Analytics,,DCU Ryan Academy
Unique Digital,http://www.uniquedigitalcinema.com/,Enterprise,,AIB
UniTuition,http://www.unituition.com,EdTech,@unituitionHQ,"NDRC, Trinity Research & Innovation"
Uooka,http://uooka.com/,Enterprise,,
Upcellr Technologies,http://upcellr.weebly.com/,Advertising & Marketing,,GEC
Uppiddee,http://www.uppiddee.com,HR & Recruitment,@Uppiddee,"Bank of Ireland, IVCA"
UrAbility,http://www.urability.com/,EdTech,,Invent DCU
Urban Fox,http://www.urbanfox.ie/,Advertising & Marketing,,
Urbanvolt,http://www.urbanvolt.com/,Environment (green/clean),,DCU Innovation
Usher,http://www.Ushertheapp.com,Entertainment & Publishing,,LEO
Usheru,http://usheru.com,Entertainment & Publishing,@usheruhq,DCSO
